timestamp,topic,data
1761304089.001476,/target_xy_mm,"[235.0, 0.0]"
1761304096.147604,/target_position_array,"[4095, 0]"
1761304109.4084134,/target_xy_mm,"[155.0, 0.0]"
1761304126.009616,/target_xy_mm,"[155.0, -323.0]"
1761304141.3652587,/Agitator_control,4
1761304145.538604,/motor_command,"[3, 1]"
1761304168.4616566,/target_xy_mm,"[155.0, -720.0]"
1761304181.4665504,/Agitator_control,128
1761304190.992986,/motor_command,"[8, 1]"
1761304213.1490486,/target_xy_mm,"[155.0, -1135.0]"
1761304226.6511674,/target_xy_mm,"[35.0, -1135.0]"
1761304234.9705527,/motor_command,"[13, 1]"
1761304252.3710434,/target_xy_mm,"[0.0, 0.0]"
